FIT Profiler Report
Profile stats for: [LightningModule]LitLatentJacobianODE.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       26    0.000    0.000    0.000    0.000 inspect.py:302(isclass)
       52    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 console.py:819(_enter_buffer)
       51    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 segment.py:189(apply_style)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       38    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       38    0.000    0.000    0.000    0.000 containers.py:93(__len__)
       14    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
        2    0.000    0.000    0.000    0.000 typing.py:2116(__instancecheck__)
        1    0.000    0.000    0.000    0.000 box.py:115(get_row)
       10    0.000    0.000    0.000    0.000 table.py:310(get_row_style)
        6    0.000    0.000    0.000    0.000 hooks.py:35(remove)
        8    0.000    0.000    0.000    0.000 table.py:700(_get_padding_width)
       38    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 box.py:164(get_bottom)
        8    0.000    0.000    0.000    0.000 <string>:2(__init__)
        3    0.000    0.000    0.000    0.000 model_summary.py:82(__del__)
       28    0.000    0.000    0.000    0.000 {method 'groups' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 model_summary.py:250(named_modules)
        1    0.000    0.000    0.000    0.000 model_summary.py:313(flop_counts)
        6    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       28    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        2    0.000    0.000    0.000    0.000 console.py:927(encoding)
        6    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
       24    0.000    0.000    0.000    0.000 segment.py:100(__bool__)
       28    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 table.py:252(grid)
        3    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
       35    0.000    0.000    0.000    0.000 text.py:760(<genexpr>)
        6    0.000    0.000    0.000    0.000 contextlib.py:552(_push_exit_callback)
        1    0.000    0.000    0.000    0.000 _ratio.py:107(ratio_distribute)
       10    0.000    0.000    0.000    0.000 table.py:761(<genexpr>)
        7    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 model_summary.py:309(total_flops)
        4    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        4    0.000    0.000    0.000    0.000 console.py:786(_buffer_index)
       18    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 text.py:886(_trim_spans)
        1    0.000    0.000    0.000    0.000 model_summary.py:283(training_modes)
       34    0.000    0.000    0.000    0.000 style.py:690(render)
        4    0.000    0.000    0.000    0.000 module.py:2786(named_children)
        4    0.000    0.000    0.000    0.000 model_summary.py:386(<genexpr>)
        1    0.000    0.000    0.000    0.000 model_summary.py:267(layer_types)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       22    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        6    0.000    0.000    0.000    0.000 console.py:781(_buffer_index)
       24    0.000    0.000    0.000    0.000 table.py:353(padding)
        2    0.000    0.000    0.000    0.000 model_summary.py:263(layer_names)
        5    0.000    0.000    0.000    0.000 {built-in method math.log10}
        2    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        2    0.000    0.000    0.000    0.000 flop_counter.py:697(get_total_flops)
       14    0.000    0.000    0.000    0.000 text.py:425(spans)
        1    0.000    0.000    0.000    0.000 box.py:67(substitute)
       14    0.000    0.000    0.000    0.000 text.py:744(<genexpr>)
       18    0.000    0.000    0.000    0.000 style.py:203(null)
        2    0.000    0.000    0.000    0.000 trainer.py:1288(precision)
        6    0.000    0.000    0.000    0.000 segment.py:493(align_bottom)
       14    0.000    0.000    0.000    0.000 markup.py:28(__str__)
       13    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       14    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        9    0.000    0.000    0.000    0.000 hooks.py:33(<genexpr>)
       14    0.000    0.000    0.000    0.000 text.py:745(<genexpr>)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        6    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 contextlib.py:485(__init__)
        4    0.000    0.000    0.000    0.000 table.py:295(_extra_width)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 model_summary.py:134(layer_type)
        6    0.000    0.000    0.000    0.000 contextlib.py:475(_create_exit_wrapper)
        1    0.000    0.000    0.000    0.000 trainer.py:1334(is_global_zero)
        8    0.000    0.000    0.000    0.000 measure.py:59(clamp)
        5    0.000    0.000    0.000    0.000 {built-in method math.floor}
        8    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
